EID	SecurityClearance	IsPilot	IsOperator
1	2	1	1
2	1	1	0
3	2	1	1
4	1	0	0
5	1	0	0
6	1	1	0
7	3	1	1
8	1	0	0
9	2	0	1
10	2	0	0
11	2	1	1
12	3	1	1
13	1	1	0
14	1	1	0
15	3	0	0
16	2	0	1
17	3	1	0
18	1	0	1
19	3	1	1
20	2	0	1
21	1	0	0
22	1	0	0
23	3	0	0
24	2	0	1
25	3	1	0
26	3	1	1
27	1	0	1
28	1	1	0
29	1	0	0
30	1	0	1
31	1	1	1
32	3	0	1
33	3	1	0
34	3	1	1
35	1	0	1
36	1	1	0
37	3	0	0
38	1	1	1
39	1	1	1
40	2	0	0
41	3	0	1
42	1	1	0
43	2	0	1
44	2	1	0
45	1	1	0
46	2	1	1
47	3	0	1
48	2	0	0
49	3	1	0
50	3	1	1
51	2	1	1
52	2	0	0
53	1	0	0
54	3	0	1
55	2	0	1
56	2	1	0
57	3	1	1
58	1	0	1
59	2	1	1
60	2	0	1
