id	number	cameraModel
1	1	20.1-megapixel Sony Exmor R CMOS
2	1	50MB Teledyne camera
2	2	50MB Teledyne camera
2	3	50MB Teledyne camera
2	4	50MB Teledyne camera
3	1	MTS-B IR camera
3	2	MTS-B color/monochrome daylight TV camera
3	3	MTS-B image-intensified TV camera
4	1	L2D-20c aerial camera
5	1	50MB Teledyne camera
5	2	50MB Teledyne camera
5	3	50MB Teledyne camera
5	4	50MB Teledyne camera
6	1	20.1-megapixel Sony Exmor R CMOS
7	1	Dual 640T visible camera
8	1	MTS-B IR camera
8	2	MTS-B color/monochrome daylight TV camera
8	3	MTS-B image-intensified TV camera
9	1	Dual 640T visible camera
9	2	Dual 640T thermal camera
10	1	50MB Teledyne camera
10	2	50MB Teledyne camera
10	3	50MB Teledyne camera
10	4	50MB Teledyne camera
11	1	4/3 CMOS Hasselblad camera
12	1	Dual 640T visible camera
14	1	50MB Teledyne camera
14	2	50MB Teledyne camera
14	3	50MB Teledyne camera
14	4	50MB Teledyne camera
15	1	MTS-B IR camera
15	2	MTS-B color/monochrome daylight TV camera
15	3	MTS-B image-intensified TV camera
15	4	MTS-B laser designator camera
15	5	MTS-B laser illuminator camera
16	1	50MB Teledyne camera
16	2	50MB Teledyne camera
16	3	50MB Teledyne camera
16	4	50MB Teledyne camera
17	1	L2D-20c aerial camera
18	1	50MB Teledyne camera
18	2	50MB Teledyne camera
18	3	50MB Teledyne camera
18	4	50MB Teledyne camera
19	1	Dual 640T visible camera
19	2	Dual 640T thermal camera
20	1	20.1-megapixel Sony Exmor R CMOS
22	1	20.1-megapixel Sony Exmor R CMOS
23	1	Dual 640T visible camera
24	1	L2D-20c aerial camera
25	1	20.1-megapixel Sony Exmor R CMOS
26	1	50MB Teledyne camera
26	2	50MB Teledyne camera
26	3	50MB Teledyne camera
26	4	50MB Teledyne camera
27	1	MTS-B IR camera
27	2	MTS-B color/monochrome daylight TV camera
27	3	MTS-B image-intensified TV camera
27	4	MTS-B laser designator camera
27	5	MTS-B laser illuminator camera
28	1	Dual 640T visible camera
28	2	Dual 640T thermal camera
29	1	50MB Teledyne camera
29	2	50MB Teledyne camera
29	3	50MB Teledyne camera
29	4	50MB Teledyne camera
30	1	20.1-megapixel Sony Exmor R CMOS
31	1	50MB Teledyne camera
31	2	50MB Teledyne camera
31	3	50MB Teledyne camera
31	4	50MB Teledyne camera
32	1	50MB Teledyne camera
32	2	50MB Teledyne camera
32	3	50MB Teledyne camera
32	4	50MB Teledyne camera
34	1	L2D-20c aerial camera
35	1	20.1-megapixel Sony Exmor R CMOS
36	1	Dual 640T visible camera
37	1	MTS-B IR camera
37	2	MTS-B color/monochrome daylight TV camera
37	3	MTS-B image-intensified TV camera
37	4	MTS-B laser designator camera
37	5	MTS-B laser illuminator camera
38	1	Dual 640T visible camera
38	2	Dual 640T thermal camera
39	1	4/3 CMOS Hasselblad camera
40	1	Dual 640T visible camera
41	1	42.4MP Sony RX1R-II camera
43	1	42.4MP Sony RX1R-II camera
44	1	L2D-20c aerial camera
45	1	42.4MP Sony RX1R-II camera
46	1	42.4MP Sony RX1R-II camera
47	1	Dual 640T visible camera
48	1	50MB Teledyne camera
48	2	50MB Teledyne camera
48	3	50MB Teledyne camera
48	4	50MB Teledyne camera
49	1	L2D-20c aerial camera
50	1	MTS-B IR camera
50	2	MTS-B color/monochrome daylight TV camera
50	3	MTS-B image-intensified TV camera
50	4	MTS-B laser designator camera
50	5	MTS-B laser illuminator camera
51	1	42.4MP Sony RX1R-II camera
52	1	42.4MP Sony RX1R-II camera
53	1	EO digital camera
53	2	IR sensor camera
53	3	GMTI camera
53	4	Synthetic aperture radar sensor camera
54	1	L2D-20c aerial camera
55	1	EO digital camera
55	2	IR sensor camera
55	3	GMTI camera
55	4	Synthetic aperture radar sensor camera
56	1	42.4MP Sony RX1R-II camera
57	1	50MB Teledyne camera
57	2	50MB Teledyne camera
57	3	50MB Teledyne camera
57	4	50MB Teledyne camera
58	1	EO digital camera
58	2	IR sensor camera
58	3	GMTI camera
58	4	Synthetic aperture radar sensor camera
59	1	EO digital camera
59	2	IR sensor camera
59	3	GMTI camera
59	4	Synthetic aperture radar sensor camera
60	1	MTS-B IR camera
60	2	MTS-B color/monochrome daylight TV camera
60	3	MTS-B image-intensified TV camera
60	4	MTS-B laser designator camera
60	5	MTS-B laser illuminator camera
61	1	Sony optical camera
61	2	Flir Boson IR sensor camera
62	1	42.4MP Sony RX1R-II camera
63	1	Dual 640T visible camera
64	1	Sony optical camera
64	2	Flir Boson IR sensor camera
65	1	4/3 CMOS Hasselblad camera
66	1	Sony optical camera
66	2	Flir Boson IR sensor camera
68	1	Sony optical camera
68	2	Flir Boson IR sensor camera
69	1	MTS-B IR camera
69	2	MTS-B color/monochrome daylight TV camera
69	3	MTS-B image-intensified TV camera
69	4	MTS-B laser designator camera
69	5	MTS-B laser illuminator camera
70	1	EO digital camera
70	2	IR sensor camera
70	3	GMTI camera
70	4	Synthetic aperture radar sensor camera
71	1	L2D-20c aerial camera
