id	operatorEID	pilotEID	droneID
1	3	1	1
20	18	7	1
1	3	1	2
14	16	46	2
1	3	1	3
3	20	12	3
9	35	50	3
16	41	59	3
20	47	42	3
1	3	1	4
3	20	12	4
1	9	11	5
3	20	12	5
14	16	46	5
1	9	11	6
3	20	12	6
1	9	11	7
3	20	12	7
14	24	51	7
16	41	59	7
1	9	11	8
2	43	13	8
3	20	12	8
16	41	59	8
20	47	42	8
1	41	12	9
2	43	13	9
3	20	12	9
14	1	56	9
16	41	59	9
1	41	12	10
2	43	13	10
3	24	19	10
14	24	51	10
1	41	12	11
3	24	19	11
1	41	12	12
2	43	13	12
3	24	19	12
14	16	46	12
16	12	39	12
3	27	25	13
21	1	7	13
2	1	14	14
3	27	25	14
14	24	51	14
2	43	13	15
3	27	25	15
16	12	39	15
20	11	56	15
2	3	17	16
3	27	25	16
14	1	56	16
3	27	25	17
2	3	17	18
3	9	26	18
14	1	56	18
2	1	14	19
3	9	26	19
3	9	26	20
20	47	42	20
21	1	7	20
2	3	17	21
3	9	26	21
20	11	56	22
21	1	7	22
2	3	17	23
16	12	39	23
16	41	59	25
20	9	46	25
21	1	7	25
2	1	14	26
2	1	14	27
8	1	46	27
16	12	39	27
20	11	56	27
17	30	6	28
16	12	39	30
17	30	6	36
21	16	42	36
8	1	46	37
20	9	46	37
17	1	46	38
21	16	42	38
21	16	42	40
21	16	42	42
17	1	46	47
2	1	14	50
4	3	28	50
8	1	46	50
15	30	57	50
20	9	46	50
4	3	28	51
17	1	46	51
4	3	28	52
17	1	46	52
4	3	28	53
4	3	28	54
4	3	28	55
4	3	28	56
17	30	6	56
2	3	17	60
5	11	2	60
8	1	46	60
15	60	3	60
20	18	7	60
5	11	2	61
5	11	2	62
6	18	31	63
17	30	6	63
6	18	31	64
14	16	46	64
6	18	31	65
20	47	42	65
6	18	31	66
14	24	51	66
6	18	31	67
7	20	36	68
14	1	56	68
8	1	46	69
15	60	3	69
20	18	7	69
7	20	36	70
7	20	36	71
18	32	56	71
7	20	36	72
18	32	56	72
20	11	56	72
7	20	36	73
18	32	56	73
7	20	36	74
15	60	3	74
18	32	56	74
7	20	36	75
18	32	56	75
19	12	57	76
19	12	57	77
19	12	57	78
9	35	50	79
15	12	38	79
19	12	57	79
20	18	7	79
19	12	57	80
10	3	51	81
19	12	57	81
20	47	42	81
10	3	51	82
19	12	57	82
20	11	56	82
10	3	51	83
19	12	57	83
20	9	46	83
11	55	33	84
9	35	50	85
11	55	33	85
15	12	38	85
11	55	33	86
15	30	57	86
11	55	33	87
15	12	38	87
11	55	33	88
15	60	3	88
12	16	2	89
12	16	2	90
12	16	2	91
15	32	59	91
13	35	51	92
13	35	51	93
13	35	51	94
15	30	57	94
13	35	51	95
15	12	38	95
15	32	59	96
9	35	50	100
15	32	59	100
20	9	46	101
15	32	59	102
20	18	7	108
9	35	50	111
22	7	34	110
22	7	34	112
22	19	39	107
22	19	39	118
