id	datetime	droneID	droneCamNum	cameraSN
1	2021-01-14 21:03:00	\N	\N	12704
2	2021-12-07 00:00:00	\N	\N	12746
3	2020-12-07 10:00:00	\N	\N	22412
4	2021-01-18 21:54:00	\N	\N	27071
5	2020-08-15 22:45:00	\N	\N	34123
6	2021-01-22 23:36:00	\N	\N	34561
7	2021-11-25 00:00:00	\N	\N	36789
8	2021-11-25 09:55:00	\N	\N	72345
9	2021-11-27 10:55:00	\N	\N	72879
10	2022-01-10 07:30:00	\N	\N	78615
11	2020-12-31 20:05:00	1	1	\N
12	2020-12-31 20:25:00	2	1	\N
13	2020-12-31 21:15:00	2	2	\N
14	2020-12-31 22:05:00	3	1	\N
15	2020-12-31 22:25:00	3	2	\N
16	2020-12-31 23:05:00	3	3	\N
17	2020-12-31 23:45:00	4	1	\N
18	2020-12-31 23:48:00	5	1	\N
19	2021-01-01 03:48:00	6	1	\N
20	2021-01-01 04:10:00	7	1	\N
21	2021-01-01 05:34:00	8	1	\N
22	2021-01-01 06:04:00	8	2	\N
23	2021-01-01 06:04:00	9	2	\N
24	2021-01-01 07:48:00	10	2	\N
25	2021-01-01 07:53:00	11	1	\N
26	2021-01-01 07:58:00	12	1	\N
27	2021-02-11 20:05:00	8	3	\N
28	2021-02-11 20:25:00	9	1	\N
29	2021-02-11 21:15:00	10	4	\N
30	2021-02-11 22:05:00	10	4	\N
31	2021-02-11 22:25:00	10	4	\N
32	2021-02-11 23:05:00	12	1	\N
33	2021-02-11 23:45:00	14	3	\N
34	2021-02-11 23:48:00	15	4	\N
35	2021-02-12 03:48:00	15	5	\N
36	2021-02-12 04:10:00	16	4	\N
37	2021-02-12 05:34:00	18	3	\N
38	2021-01-01 06:04:00	\N	\N	87621
39	2021-01-01 06:04:00	\N	\N	97621
40	2021-01-01 07:48:00	\N	\N	97621
41	2021-01-01 07:53:00	\N	\N	34561
42	2021-12-01 07:58:00	\N	\N	36789
43	2021-11-28 00:00:00	\N	\N	72345
44	2021-12-24 03:41:00	\N	\N	72345
45	2021-11-30 00:00:00	\N	\N	72879
46	2021-12-26 06:45:00	\N	\N	72879
47	2022-01-07 00:00:00	\N	\N	72879
48	2022-02-12 09:45:00	\N	\N	72879
49	2021-05-06 00:00:00	\N	\N	12704
50	2022-01-01 07:59:00	\N	\N	12746
51	2022-01-01 07:59:00	\N	\N	22412
52	2021-06-08 07:59:00	\N	\N	22412
53	2021-02-12 05:44:00	19	2	\N
54	2021-02-12 05:54:00	19	1	\N
55	2021-02-12 06:34:00	23	1	\N
56	2021-02-12 06:54:00	26	3	\N
57	2021-02-12 07:34:00	27	5	\N
58	2021-02-12 07:44:00	50	4	\N
59	2021-02-12 07:54:00	60	2	\N
60	2021-12-24 20:05:00	3	3	\N
61	2021-12-24 20:25:00	4	1	\N
62	2021-12-24 21:15:00	5	3	\N
63	2021-12-24 22:05:00	6	1	\N
64	2021-12-24 22:06:00	7	1	\N
65	2021-12-24 23:05:00	8	3	\N
66	2021-12-24 23:45:00	9	2	\N
67	2021-12-24 23:48:00	10	4	\N
68	2021-12-25 03:48:00	11	1	\N
69	2021-12-25 04:10:00	12	1	\N
70	2021-12-25 05:34:00	12	1	\N
71	2021-12-25 05:44:00	14	4	\N
72	2021-12-25 05:54:00	14	4	\N
73	2021-12-25 06:34:00	14	4	\N
74	2021-12-25 06:54:00	14	4	\N
75	2021-12-25 07:34:00	14	3	\N
76	2021-12-25 07:44:00	14	2	\N
77	2021-12-25 07:54:00	14	1	\N
78	2021-06-22 00:00:00	\N	\N	12704
79	2021-07-15 00:00:00	\N	\N	12704
80	2021-07-23 00:51:00	\N	\N	12704
81	2021-08-07 00:00:00	\N	\N	12704
82	2021-08-15 01:59:00	\N	\N	12704
83	2020-08-31 00:00:00	\N	\N	34561
84	2020-09-02 13:08:00	\N	\N	34561
85	2020-09-07 03:07:00	\N	\N	34561
86	2020-09-22 12:45:00	\N	\N	34561
87	2022-02-11 09:45:00	\N	\N	78615
88	2022-03-12 10:00:00	\N	\N	78615
89	2020-10-01 00:00:00	\N	\N	97621
90	2022-01-14 11:44:00	\N	\N	36789
91	2022-01-01 00:00:00	\N	\N	72345
92	2022-02-05 09:45:00	\N	\N	72345
93	2022-02-06 00:00:00	\N	\N	72345
94	2021-12-25 07:54:00	15	5	\N
95	2021-12-25 07:54:00	16	4	\N
96	2021-12-25 07:54:00	18	4	\N
97	2021-12-25 07:54:00	19	2	\N
98	2021-02-12 06:36:00	23	1	\N
99	2021-02-12 06:39:00	23	1	\N
100	2021-02-12 06:41:00	26	4	\N
101	2021-02-12 06:49:00	27	5	\N
102	2021-05-12 08:55:00	50	5	\N
103	2021-06-15 06:35:00	60	5	\N
104	2020-12-31 20:07:00	3	3	\N
105	2020-12-31 20:27:00	4	1	\N
106	2020-12-31 21:13:00	5	4	\N
107	2020-12-31 22:02:00	6	1	\N
108	2020-12-31 22:22:00	7	1	\N
109	2020-12-31 23:04:00	8	3	\N
110	2020-12-31 23:46:00	9	2	\N
111	2020-12-31 23:49:00	10	1	\N
112	2021-01-01 02:48:00	11	1	\N
113	2021-01-01 03:10:00	12	1	\N
114	2021-01-01 04:34:00	12	1	\N
115	2020-11-08 00:00:00	\N	\N	13587
116	2020-11-16 06:31:00	\N	\N	13587
117	2020-11-17 00:00:00	\N	\N	13587
118	2020-11-30 18:00:00	\N	\N	13587
119	2020-12-10 00:00:00	\N	\N	13587
120	2020-12-12 17:15:00	\N	\N	13587
121	2020-12-31 22:13:00	\N	\N	13587
122	2022-01-01 00:51:00	\N	\N	29387
123	2022-01-01 14:43:00	\N	\N	29387
124	2022-01-01 00:51:00	\N	\N	29387
125	2022-01-01 00:51:00	\N	\N	29387
126	2022-01-01 00:51:00	\N	\N	29387
127	2021-01-15 02:33:00	\N	\N	29387
128	2021-01-17 00:00:00	\N	\N	29387
129	2021-01-22 03:24:00	\N	\N	82376
130	2021-01-29 04:15:00	\N	\N	82376
131	2021-02-01 13:12:00	\N	\N	82376
132	2021-02-05 05:06:00	\N	\N	82376
133	2021-02-09 00:00:00	\N	\N	82376
134	2021-02-12 05:57:00	\N	\N	12704
135	2021-02-17 11:03:00	\N	\N	12746
136	2021-02-19 06:48:00	\N	\N	22412
137	2021-02-25 00:00:00	\N	\N	27071
138	2021-02-26 07:39:00	\N	\N	34123
139	2021-03-04 00:00:00	\N	\N	34561
140	2022-03-05 08:30:00	\N	\N	36789
141	2022-03-12 09:21:00	\N	\N	72345
142	2022-03-06 00:00:00	\N	\N	72879
143	2022-04-13 13:45:00	\N	\N	78615
144	2021-03-19 10:12:00	\N	\N	87621
145	2021-05-12 06:56:00	50	5	\N
146	2021-05-12 06:58:00	51	1	\N
147	2021-05-12 07:16:00	51	1	\N
148	2021-05-12 07:26:00	51	1	\N
149	2021-05-12 07:28:00	51	1	\N
150	2021-05-12 07:46:00	51	1	\N
151	2021-05-12 07:56:00	51	1	\N
152	2021-05-12 08:06:00	51	1	\N
153	2021-05-12 08:16:00	51	1	\N
154	2021-05-12 08:26:00	51	1	\N
155	2021-05-12 08:36:00	51	1	\N
156	2021-05-12 08:46:00	51	1	\N
157	2021-05-12 08:56:00	54	1	\N
158	2021-05-12 08:56:00	55	1	\N
159	2021-05-12 08:56:00	56	1	\N
160	2021-06-15 08:26:00	60	1	\N
161	2021-06-15 08:36:00	61	1	\N
162	2021-06-15 08:46:00	62	1	\N
163	2021-07-18 08:06:00	63	1	\N
164	2021-07-18 08:16:00	64	1	\N
165	2021-07-18 08:26:00	65	1	\N
166	2021-07-18 08:36:00	66	1	\N
167	2021-07-18 08:46:00	66	1	\N
168	2021-07-18 07:26:00	68	1	\N
169	2021-07-18 07:36:00	69	1	\N
170	2021-07-18 08:47:00	70	1	\N
171	2021-08-20 05:08:00	100	3	\N
172	2021-08-20 08:08:00	111	3	\N
173	2021-09-19 04:14:00	81	1	\N
174	2021-09-19 06:14:00	81	1	\N
175	2021-09-19 09:14:00	81	1	\N
176	2021-10-24 04:33:00	84	2	\N
177	2021-10-24 04:37:00	85	2	\N
178	2021-10-24 04:53:00	86	2	\N
179	2021-10-24 05:33:00	87	2	\N
180	2021-10-24 05:53:00	88	2	\N
181	2021-10-24 06:33:00	88	2	\N
182	2021-10-24 07:23:00	88	2	\N
183	2021-10-24 08:33:00	88	2	\N
184	2021-10-24 08:34:00	88	2	\N
185	2021-10-24 08:35:00	88	2	\N
186	2021-03-21 00:00:00	\N	\N	97621
187	2021-03-26 11:03:00	\N	\N	97621
188	2021-03-28 00:00:00	\N	\N	97621
189	2021-04-02 11:54:00	\N	\N	97621
190	2021-04-09 12:45:00	\N	\N	97621
191	2021-04-13 04:49:00	\N	\N	12640
192	2021-04-14 12:02:00	\N	\N	12640
193	2021-04-16 13:36:00	\N	\N	12640
194	2021-04-20 00:00:00	\N	\N	12640
195	2021-04-23 14:27:00	\N	\N	12640
196	2021-04-30 15:18:00	\N	\N	12640
197	2021-05-06 05:57:00	\N	\N	22318
198	2021-05-07 16:09:00	\N	\N	22318
199	2021-05-13 21:27:00	\N	\N	22318
200	2021-05-14 17:00:00	\N	\N	22318
201	2021-05-21 17:51:00	\N	\N	22318
202	2021-05-28 18:42:00	\N	\N	22318
203	2021-05-29 07:05:00	\N	\N	22318
204	2021-06-02 14:34:00	\N	\N	22318
205	2021-06-04 19:33:00	\N	\N	22318
206	2021-06-05 22:35:00	\N	\N	22318
207	2021-06-11 20:24:00	\N	\N	22318
208	2021-06-14 00:00:00	\N	\N	22318
209	2021-06-15 10:00:00	\N	\N	22318
210	2021-06-18 21:15:00	\N	\N	12704
211	2021-06-21 08:13:00	\N	\N	12746
212	2021-06-25 22:06:00	\N	\N	22412
213	2021-06-29 23:43:00	\N	\N	27071
214	2021-07-02 22:57:00	\N	\N	27071
215	2021-07-07 00:00:00	\N	\N	27071
216	2021-07-09 23:48:00	\N	\N	27071
217	2021-07-15 09:21:00	\N	\N	27071
218	2021-07-17 00:39:00	\N	\N	34123
219	2021-07-24 01:30:00	\N	\N	34123
220	2021-07-30 00:00:00	\N	\N	34123
221	2021-10-24 04:35:00	89	1	\N
222	2021-10-24 04:43:00	90	1	\N
223	2021-10-24 05:54:00	91	1	\N
224	2021-10-24 04:35:00	92	1	\N
225	2021-10-24 05:43:00	93	1	\N
226	2021-10-24 05:54:00	94	1	\N
227	2021-10-24 08:54:00	95	1	\N
228	2021-07-31 02:21:00	\N	\N	12746
229	2021-08-07 03:12:00	\N	\N	12746
230	2021-08-07 10:29:00	\N	\N	12746
231	2021-08-14 04:03:00	\N	\N	12746
232	2021-08-15 00:00:00	\N	\N	12746
233	2021-08-21 04:54:00	\N	\N	12746
234	2021-08-22 00:00:00	\N	\N	12746
235	2021-08-28 05:45:00	\N	\N	12746
236	2021-08-30 11:37:00	\N	\N	12746
237	2021-09-04 06:36:00	\N	\N	12746
238	2021-09-08 00:00:00	\N	\N	12746
239	2021-09-11 07:27:00	\N	\N	12746
240	2021-09-13 18:54:00	\N	\N	12746
241	2021-09-15 00:00:00	\N	\N	12704
242	2021-09-18 08:18:00	\N	\N	12704
243	2021-09-25 09:09:00	\N	\N	12704
244	2021-10-01 04:15:00	\N	\N	12704
245	2021-10-02 10:00:00	\N	\N	12704
