photoID	poiID	confidence
1	1	0.55
1	3	0.76
2	1	0.56
2	4	0.73
2	7	0.23
2	9	0.31
3	14	0.82
3	23	0.19
4	45	0.23
4	54	0.01
4	65	0.05
4	67	0.12
5	1	0.47
5	2	0.53
5	3	0.23
9	4	0.76
9	7	0.12
9	22	0.46
10	11	0.92
10	17	0.82
10	19	0.6
11	13	0.5
11	59	0.4
12	11	0.3
12	13	0.34
12	15	0.23
12	17	0.14
12	19	0.46
16	26	0.13
22	18	0.18
27	25	0.99
27	34	0.16
35	13	1
45	18	0.67
45	19	0.78
45	64	0.34
45	73	0.98
58	12	0.13
58	23	0.23
58	44	0.34
58	56	0.12
58	71	0.12
59	19	0.14
59	25	0.46
62	45	0.13
64	12	0.67
64	23	1
64	45	0.99
64	47	0.18
77	19	0.73
77	45	0.78
77	65	0.23
83	23	0.31
83	34	0.82
83	56	0.19
83	74	0.23
86	12	0.01
86	14	0.05
86	15	0.12
92	13	0.53
92	18	0.47
92	19	0.11
93	17	0.23
93	19	0.34
93	21	0.45
93	27	0.56
96	23	0.34
96	44	0.67
96	45	0.67
96	67	0.78
96	70	0.23
101	23	0.54
101	56	0.23
101	69	0.45
107	44	0.96
108	42	0.8
109	12	0.65
109	33	0.25
113	23	0.25
113	45	0.6
113	67	0.98
116	12	0.65
117	45	0.12
117	66	0.17
123	11	0.19
123	22	0.17
123	33	0.28
123	44	0.23
139	12	0.8
139	34	0.89
139	45	0.23
139	56	0.45
139	67	0.96
145	23	0.65
145	34	0.25
147	45	0.6
151	23	0.14
151	67	0.98
163	7	0.13
163	9	0.18
163	12	0.46
175	14	0.16
175	23	0.99
181	45	1
184	54	0.67
184	65	0.78
184	67	0.98
192	1	0.34
193	2	0.13
199	3	0.12
200	4	0.12
201	7	0.34
201	11	0.76
201	22	0.23
209	13	0.56
211	15	0.98
211	17	0.38
211	19	0.46
222	18	0.29
222	26	0.37
228	13	1
228	18	0.89
228	25	0.05
228	34	0.19
232	19	0.89
232	64	0.45
232	73	0.67
235	12	0.34
235	56	0.76
235	71	0.23
237	19	0.38
237	23	0.98
237	25	0.46
237	44	0.56
241	45	0.37
241	47	0.29
243	45	0.19
245	11	0.78
245	22	0.73
245	33	0.23
253	44	0.31
253	55	0.82
253	66	0.19
257	12	0.23
257	24	0.01
262	36	0.05
263	48	0.23
263	60	0.01
264	13	0.12
264	72	0.05
265	26	0.47
265	39	0.53
267	52	0.23
267	65	0.76
268	14	0.12
268	28	0.46
269	45	0.6
269	52	0.92
269	66	0.82
271	23	0.3
271	34	0.4
271	47	0.5
273	12	0.34
273	45	0.23
275	29	0.46
275	66	0.14
276	17	0.75
276	27	0.38
276	28	0.13
276	33	0.24
