id	disposeDate	assignDate	droneID	cameraSN
44	2021-03-01	2020-09-01	1	\N
130	2021-09-02	2021-03-02	1	\N
266	2022-03-03	2021-09-03	1	\N
1	2020-09-01	2020-03-01	2	\N
60	2021-03-02	2020-09-02	2	\N
146	2021-09-03	2021-03-03	2	\N
282	2022-03-04	2021-09-04	2	\N
2	2020-09-01	2020-03-01	3	\N
61	2021-03-02	2020-09-02	3	\N
147	2021-09-03	2021-03-03	3	\N
283	2022-03-04	2021-09-04	3	\N
45	2021-03-01	2020-09-01	4	\N
131	2021-09-02	2021-03-02	4	\N
267	2022-03-03	2021-09-03	4	\N
3	2020-09-01	2020-03-01	5	\N
62	2021-03-02	2020-09-02	5	\N
148	2021-09-03	2021-03-03	5	\N
284	2022-03-04	2021-09-04	5	\N
46	2021-03-01	2020-09-01	6	\N
132	2021-09-02	2021-03-02	6	\N
268	2022-03-03	2021-09-03	6	\N
4	2020-09-01	2020-03-01	7	\N
63	2021-03-02	2020-09-02	7	\N
149	2021-09-03	2021-03-03	7	\N
285	2022-03-04	2021-09-04	7	\N
5	2020-09-01	2020-03-01	8	\N
64	2021-03-02	2020-09-02	8	\N
150	2021-09-03	2021-03-03	8	\N
286	2022-03-04	2021-09-04	8	\N
6	2020-09-01	2020-03-01	9	\N
65	2021-03-02	2020-09-02	9	\N
151	2021-09-03	2021-03-03	9	\N
287	2022-03-04	2021-09-04	9	\N
7	2020-09-01	2020-03-01	10	\N
66	2021-03-02	2020-09-02	10	\N
152	2021-09-03	2021-03-03	10	\N
288	2022-03-04	2021-09-04	10	\N
47	2021-03-01	2020-09-01	11	\N
133	2021-09-02	2021-03-02	11	\N
269	2022-03-03	2021-09-03	11	\N
8	2020-09-01	2020-03-01	12	\N
67	2021-03-02	2020-09-02	12	\N
153	2021-09-03	2021-03-03	12	\N
289	2022-03-04	2021-09-04	12	\N
183	2021-12-24	2021-06-24	13	\N
323	2022-06-25	2021-12-25	13	\N
9	2020-09-01	2020-03-01	14	\N
68	2021-03-02	2020-09-02	14	\N
154	2021-09-03	2021-03-03	14	\N
290	2022-03-04	2021-09-04	14	\N
10	2020-09-01	2020-03-01	15	\N
69	2021-03-02	2020-09-02	15	\N
155	2021-09-03	2021-03-03	15	\N
291	2022-03-04	2021-09-04	15	\N
11	2020-09-01	2020-03-01	16	\N
70	2021-03-02	2020-09-02	16	\N
156	2021-09-03	2021-03-03	16	\N
292	2022-03-04	2021-09-04	16	\N
193	2021-12-24	2021-06-24	17	\N
325	2022-06-25	2021-12-25	17	\N
369	2022-12-26	2022-06-26	17	\N
12	2020-09-01	2020-03-01	18	\N
71	2021-03-02	2020-09-02	18	\N
157	2021-09-03	2021-03-03	18	\N
293	2022-03-04	2021-09-04	18	\N
326	2021-07-10	2021-01-10	19	\N
194	2022-01-11	2021-07-11	19	\N
111	2021-08-06	2021-02-06	20	\N
226	2022-02-07	2021-08-07	20	\N
112	2021-08-06	2021-02-06	21	\N
227	2022-02-07	2021-08-07	21	\N
113	2021-08-06	2021-02-06	22	\N
228	2022-02-07	2021-08-07	22	\N
13	2020-09-01	2020-03-01	23	\N
72	2021-03-02	2020-09-02	23	\N
158	2021-09-03	2021-03-03	23	\N
294	2022-03-04	2021-09-04	23	\N
195	2022-01-17	2021-07-17	24	\N
327	2022-07-18	2022-01-18	24	\N
14	2020-09-01	2020-03-01	25	\N
73	2021-03-02	2020-09-02	25	\N
159	2021-09-03	2021-03-03	25	\N
295	2022-03-04	2021-09-04	25	\N
196	2021-02-14	2020-08-14	26	\N
328	2021-08-15	2021-02-15	26	\N
15	2020-09-01	2020-03-01	27	\N
74	2021-03-02	2020-09-02	27	\N
160	2021-09-03	2021-03-03	27	\N
296	2022-03-04	2021-09-04	27	\N
48	2021-03-01	2020-09-01	28	\N
134	2021-09-02	2021-03-02	28	\N
270	2022-03-03	2021-09-03	28	\N
16	2020-09-01	2020-03-01	29	\N
75	2021-03-02	2020-09-02	29	\N
161	2021-09-03	2021-03-03	29	\N
297	2022-03-04	2021-09-04	29	\N
197	2020-07-14	2020-01-14	30	\N
329	2021-01-15	2020-07-15	30	\N
198	2022-01-17	2021-07-17	31	\N
330	2022-07-18	2022-01-18	31	\N
245	2022-02-25	2021-08-25	32	\N
348	2022-08-26	2022-02-26	32	\N
246	2022-02-25	2021-08-25	34	\N
349	2022-08-26	2022-02-26	34	\N
247	2022-02-25	2021-08-25	35	\N
350	2022-08-26	2022-02-26	35	\N
49	2021-03-01	2020-09-01	36	\N
135	2021-09-02	2021-03-02	36	\N
271	2022-03-03	2021-09-03	36	\N
114	2021-08-06	2021-02-06	37	\N
229	2022-02-07	2021-08-07	37	\N
50	2021-03-01	2020-09-01	38	\N
136	2021-09-02	2021-03-02	38	\N
272	2022-03-03	2021-09-03	38	\N
248	2022-02-25	2021-08-25	39	\N
351	2022-08-26	2022-02-26	39	\N
182	2021-12-22	2021-06-22	40	\N
322	2022-06-23	2021-12-23	40	\N
249	2022-02-25	2021-08-25	41	\N
352	2022-08-26	2022-02-26	41	\N
181	2021-12-22	2021-06-22	42	\N
321	2022-06-23	2021-12-23	42	\N
250	2022-02-25	2021-08-25	43	\N
353	2022-08-26	2022-02-26	43	\N
251	2022-02-25	2021-08-25	44	\N
354	2022-08-26	2022-02-26	44	\N
252	2022-02-25	2021-08-25	45	\N
355	2022-08-26	2022-02-26	45	\N
199	2022-01-17	2021-07-17	46	\N
331	2022-07-18	2022-01-18	46	\N
51	2021-03-01	2020-09-01	47	\N
137	2021-09-02	2021-03-02	47	\N
273	2022-03-03	2021-09-03	47	\N
200	2022-01-17	2021-07-17	48	\N
332	2022-07-18	2022-01-18	48	\N
201	2022-01-17	2021-07-17	49	\N
333	2022-07-18	2022-01-18	49	\N
17	2020-09-01	2020-03-01	50	\N
76	2021-03-02	2020-09-02	50	\N
162	2021-09-03	2021-03-03	50	\N
298	2022-03-04	2021-09-04	50	\N
52	2021-03-01	2020-09-01	51	\N
138	2021-09-02	2021-03-02	51	\N
274	2022-03-03	2021-09-03	51	\N
53	2021-03-01	2020-09-01	52	\N
139	2021-09-02	2021-03-02	52	\N
275	2022-03-03	2021-09-03	52	\N
115	2021-08-06	2021-02-06	53	\N
230	2022-02-07	2021-08-07	53	\N
116	2021-08-06	2021-02-06	54	\N
231	2022-02-07	2021-08-07	54	\N
117	2021-08-06	2021-02-06	55	\N
232	2022-02-07	2021-08-07	55	\N
54	2021-03-01	2020-09-01	56	\N
140	2021-09-02	2021-03-02	56	\N
276	2022-03-03	2021-09-03	56	\N
202	2022-01-17	2021-07-17	57	\N
334	2022-07-18	2022-01-18	57	\N
203	2022-01-17	2021-07-17	58	\N
335	2022-07-18	2022-01-18	58	\N
204	2022-01-17	2021-07-17	59	\N
336	2022-07-18	2022-01-18	59	\N
18	2020-09-01	2020-03-01	60	\N
77	2021-03-02	2020-09-02	60	\N
163	2021-09-03	2021-03-03	60	\N
299	2022-03-04	2021-09-04	60	\N
118	2021-08-06	2021-02-06	61	\N
233	2022-02-07	2021-08-07	61	\N
119	2021-08-06	2021-02-06	62	\N
234	2022-02-07	2021-08-07	62	\N
55	2021-03-01	2020-09-01	63	\N
141	2021-09-02	2021-03-02	63	\N
277	2022-03-03	2021-09-03	63	\N
19	2020-09-01	2020-03-01	64	\N
78	2021-03-02	2020-09-02	64	\N
164	2021-09-03	2021-03-03	64	\N
300	2022-03-04	2021-09-04	64	\N
120	2021-08-06	2021-02-06	65	\N
235	2022-02-07	2021-08-07	65	\N
20	2020-09-01	2020-03-01	66	\N
79	2021-03-02	2020-09-02	66	\N
165	2021-09-03	2021-03-03	66	\N
301	2022-03-04	2021-09-04	66	\N
180	2021-12-22	2021-06-22	67	\N
320	2022-06-23	2021-12-23	67	\N
21	2020-09-01	2020-03-01	68	\N
80	2021-03-02	2020-09-02	68	\N
166	2021-09-03	2021-03-03	68	\N
302	2022-03-04	2021-09-04	68	\N
22	2020-09-01	2020-03-01	69	\N
81	2021-03-02	2020-09-02	69	\N
167	2021-09-03	2021-03-03	69	\N
303	2022-03-04	2021-09-04	69	\N
179	2021-12-22	2021-06-22	70	\N
319	2022-06-23	2021-12-23	70	\N
56	2021-03-01	2020-09-01	71	\N
142	2021-09-02	2021-03-02	71	\N
278	2022-03-03	2021-09-03	71	\N
57	2021-03-01	2020-09-01	72	\N
143	2021-09-02	2021-03-02	72	\N
279	2022-03-03	2021-09-03	72	\N
58	2021-03-01	2020-09-01	73	\N
144	2021-09-02	2021-03-02	73	\N
280	2022-03-03	2021-09-03	73	\N
23	2020-09-01	2020-03-01	74	\N
82	2021-03-02	2020-09-02	74	\N
168	2021-09-03	2021-03-03	74	\N
304	2022-03-04	2021-09-04	74	\N
59	2021-03-01	2020-09-01	75	\N
145	2021-09-02	2021-03-02	75	\N
281	2022-03-03	2021-09-03	75	\N
121	2021-08-06	2021-02-06	76	\N
236	2022-02-07	2021-08-07	76	\N
122	2021-08-06	2021-02-06	77	\N
237	2022-02-07	2021-08-07	77	\N
123	2021-08-06	2021-02-06	78	\N
238	2022-02-07	2021-08-07	78	\N
24	2020-09-01	2020-03-01	79	\N
83	2021-03-02	2020-09-02	79	\N
169	2021-09-03	2021-03-03	79	\N
305	2022-03-04	2021-09-04	79	\N
124	2021-08-06	2021-02-06	80	\N
239	2022-02-07	2021-08-07	80	\N
125	2021-08-06	2021-02-06	81	\N
240	2022-02-07	2021-08-07	81	\N
126	2021-08-06	2021-02-06	82	\N
241	2022-02-07	2021-08-07	82	\N
127	2021-08-06	2021-02-06	83	\N
242	2022-02-07	2021-08-07	83	\N
253	2022-02-25	2021-08-25	84	\N
356	2022-08-26	2022-02-26	84	\N
25	2020-09-01	2020-03-01	85	\N
84	2021-03-02	2020-09-02	85	\N
170	2021-09-04	2021-03-03	85	\N
306	2022-03-05	2021-09-05	85	\N
26	2020-09-01	2020-03-01	86	\N
85	2021-03-02	2020-09-02	86	\N
171	2021-09-03	2021-03-03	86	\N
307	2022-03-04	2021-09-04	86	\N
27	2020-09-01	2020-03-01	87	\N
86	2021-03-02	2020-09-02	87	\N
172	2021-09-03	2021-03-03	87	\N
308	2022-03-04	2021-09-04	87	\N
28	2020-09-01	2020-03-01	88	\N
87	2021-03-02	2020-09-02	88	\N
173	2021-09-03	2021-03-03	88	\N
309	2022-03-04	2021-09-04	88	\N
254	2022-02-25	2021-08-25	89	\N
357	2022-08-26	2022-02-26	89	\N
255	2022-02-25	2021-08-25	90	\N
358	2022-08-26	2022-02-26	90	\N
29	2020-09-01	2020-03-01	91	\N
88	2021-03-02	2020-09-02	91	\N
174	2021-09-03	2021-03-03	91	\N
310	2022-03-04	2021-09-04	91	\N
256	2022-02-25	2021-08-25	92	\N
359	2022-08-26	2022-02-26	92	\N
257	2022-02-25	2021-08-25	93	\N
360	2022-08-26	2022-02-26	93	\N
30	2020-09-01	2020-03-01	94	\N
89	2021-03-02	2020-09-02	94	\N
175	2021-09-03	2021-03-03	94	\N
311	2022-03-04	2021-09-04	94	\N
258	2021-10-25	2020-04-25	95	\N
361	2022-04-26	2021-10-26	95	\N
31	2020-09-01	2020-03-01	96	\N
90	2021-03-02	2020-09-02	96	\N
176	2021-09-03	2021-03-03	96	\N
312	2022-03-04	2021-09-04	96	\N
205	2022-01-17	2021-07-17	97	\N
337	2022-07-18	2022-01-18	97	\N
206	2022-01-17	2021-07-17	98	\N
338	2022-07-18	2022-01-18	98	\N
207	2022-01-17	2021-07-17	99	\N
339	2022-07-18	2022-01-18	99	\N
32	2020-09-01	2020-03-01	100	\N
91	2021-03-02	2020-09-02	100	\N
177	2021-09-03	2021-03-03	100	\N
313	2022-03-04	2021-09-04	100	\N
128	2021-08-06	2021-02-06	101	\N
243	2022-02-07	2021-08-07	101	\N
33	2020-09-01	2020-03-01	102	\N
92	2021-03-02	2020-09-02	102	\N
178	2021-09-03	2021-03-03	102	\N
314	2022-03-04	2021-09-04	102	\N
208	2022-01-17	2021-07-17	103	\N
340	2022-07-18	2022-01-18	103	\N
209	2022-01-17	2021-07-17	104	\N
341	2022-07-18	2022-01-18	104	\N
259	2022-02-25	2021-08-25	105	\N
362	2022-08-26	2022-02-26	105	\N
260	2022-02-25	2021-08-25	106	\N
363	2022-08-26	2022-02-26	106	\N
261	2022-02-25	2021-08-25	107	\N
364	2022-08-26	2022-02-26	107	\N
129	2021-08-06	2021-02-06	108	\N
244	2022-02-07	2021-08-07	108	\N
262	2022-02-25	2021-08-25	109	\N
365	2022-08-26	2022-02-26	109	\N
263	2022-02-25	2021-08-25	110	\N
366	2022-08-26	2022-02-26	110	\N
184	2021-12-25	2021-06-25	111	\N
324	2022-06-26	2021-12-26	111	\N
264	2022-02-25	2021-08-25	112	\N
367	2022-08-26	2022-02-26	112	\N
210	2022-01-17	2021-07-17	113	\N
342	2022-07-18	2022-01-18	113	\N
211	2022-01-17	2021-07-17	114	\N
343	2022-07-18	2022-01-18	114	\N
212	2022-01-17	2021-07-17	115	\N
344	2022-07-18	2022-01-18	115	\N
213	2022-01-17	2021-07-17	116	\N
345	2022-07-18	2022-01-18	116	\N
214	2022-01-17	2021-07-17	117	\N
346	2022-07-18	2022-01-18	117	\N
215	2022-01-17	2021-07-17	118	\N
347	2022-07-18	2022-01-18	118	\N
265	2022-02-25	2021-08-25	119	\N
368	2022-08-26	2022-02-26	119	\N
34	2021-01-21	2020-07-21	\N	12640
35	2021-01-21	2020-07-21	\N	19341
36	2021-01-21	2020-07-21	\N	22412
37	2021-01-21	2020-07-21	\N	23122
38	2021-01-21	2020-07-21	\N	34123
39	2021-01-21	2020-07-21	\N	34561
40	2021-01-21	2020-07-21	\N	13587
41	2021-01-21	2020-07-21	\N	82376
42	2021-01-21	2020-07-21	\N	87621
43	2021-01-21	2020-07-21	\N	97621
93	2021-07-13	2021-01-13	\N	12704
94	2021-07-13	2021-01-13	\N	12746
